source.name,title,description
BLICK,Mann schmuggelt 35 lebendige Finken in die USA,"Kevin Andre McKenzie (36) ist beim Versuch, 35 lebendige Singvögel in die USA zu schleusen, gescheitert. Jetzt drohen ihm bis zu 20 Jahre Knast."
Schweizer Radio und Fernsehen (SRF),Terror-Ermittlungen - Ex-Mitglieder der Terrororganisation Rote Brigaden festgenommen,In Frankreich sind sieben Ex-Mitglieder der kommunistischen Untergrundorganisation «Brigate Rosse» festgenommen worden.
BLICK,Wegen Corona-Protesten: Deutscher Geheimdienst beobachtet Querdenker,"Der deutsche Inlandsgeheimdienst hat neben Rechtsextremismus, Linksextremismus und Islamismus neu eine weitere Kategorie auf dem Radar: die verfassungsschutzrelevante Delegitimierung des Staates. Damit wird auch die Überwachung organisierter Corona-Skeptiker möglich."
BLICK,"EU: So sicherte Von der Leyen 1,8 Milliarden Imfpdosen von Pfizer/Biontech","Pfizer-Chef Albert Bourla packt über den Mega-Deal mit Ursula von der Leyen aus. Und erzählt, wie ihn die EU-Chefin überzeugte."
20 Minuten,"Digitales Impfzertifikat : Heute entscheidet die EU darüber, wie man im Sommer wieder reisen kann",Am Mittwoch berät das EU-Parlament über das digitale Impfzertifikat. Auch in der Schweiz ist ein solcher Impfpass geplant.
Schweizer Radio und Fernsehen (SRF),"Pilotversuch in Barcelona - 5000 Menschen, keine Ansteckung - BAG an Ergebnissen interessiert",In Barcelona besuchten 5000 Menschen ein Konzert – ohne nachgewiesene Ansteckung. Das BAG verfolgt die Ergebnisse.
20 Minuten,Florida : Dreijähriger bei seiner Geburtstagsparty erschossen,In Florida hat eine irregeleitete Kugel einen Knaben tödlich getroffen. Für Hinweise zur Ergreifung des Täters wurde eine Belohnung von 15’000 Dollar ausgesetzt.
BLICK,Brutale US-Polizisten quälen demente Frau (73),"Karen Garner ist 73 – und dement. Sie vergisst, in einem Supermarkt für ihre Einkäufe zu zahlen. Es geht um 13 Dollar. Die Polizei geht bei ihrer Verhaftung derart brutal vor, dass ihr Arm bricht und ihre Schulter auskugelt. Jetzt klagt die Familie."
20 Minuten,Auch Fälle in der Schweiz,"In Israel sind nach Impfung mit dem Pfizer/Biontech-Impfstoff Dutzende Fälle von Herzmuskelentzündungen aufgetreten. Ob ein Zusammenhang besteht, ist unklar. Es sind auch andere Erklärungen möglich."
20 Minuten,"US-Privatschule will Lehrer entlassen, die sich impfen lassen","Eine Privatschule in Florida hat im Zusammenhang mit der Covid-19-Impfung ein Schreiben an die Lehrkräfte verschickt, das mittlerweile im ganzen Land für Aufregung sorgt."
20 Minuten,Gossau SG : Polizei verfolgt Teenager mit frisiertem Töffli der fliehen will,"In Gossau SG jagte die Polizei einem 14-Jährigen hinterher. Dies, weil er sich einer Kontrolle entzog. Der Teenager konnte in einer benachbarten Gemeinde aufgespürt werden."
BLICK,Neuer CS-Präsident: Diese 5 Baustellen muss António Horta-Osório anpacken,"Am Freitag, dem 30. April, küren die Aktionärinnen und Aktionäre der Credit Suisse einen neuen Präsidenten. António Horta-Osório übernimmt von Urs Rohner. Auf den Portugiesen wartet ein Haufen Arbeit."
20 Minuten,Curevac : Novartis will noch dieses Jahr 50 Millionen Impfdosen herstellen,"Der Pharmariese Novartis produziert für den Impfstoffhersteller Curevac. Im Gegensatz zu Lonza hat Novartis keine Probleme, qualifiziertes Personal zu finden."
20 Minuten,"""Eine Gefahr für die Gesellschaft""",Der kanadische Bob-Fahrer Alexander Kopacz erkrankte an Corona und musste im Spital beatmet werden. Nun hat er eine klare Botschaft an Maskenverweigerer.
Frankfurter Neue Presse,Vitamin-B12-Mangel: So erkennen Sie die Symptome,"Vitamin-B-12-Mangel – viele haben ihn und wissen nichts davon. In welchen Lebensmitteln Vitamin B12 enthalten ist, wie sich ein Mangel äußert und auf welche Symptome Sie acht geben sollten."
Games.ch,Samsung präsentiert neues Monitor-Line-up 2021,Mit einem neuen Monitor-Line-up verspricht Samsung beste Aussichten für 2021. Das diesjährige Portfolio kombiniert hochauflösende Bildqualität und...
Schweizer Radio und Fernsehen (SRF),"Coronavirus in Indien - Cassis: ""Die Schweiz hat Indien Hilfe angeboten""","Die Schweiz sei bereit, Indien mit Sauerstoff und Beatmungsgeräten zu unterstützen, sagt Aussenminister Ignazio Cassis."
20 Minuten,Nach Moderna-Rüffel : Nestlé-Mitarbeiter sollen bei Lonza für Impfstoff-Produktion einspringen,"Weil es Lonza an qualifizierten Personal für die Impfstoffproduktion mangelt, kontaktiert der Pharmakonzern andere grosse Firmen in der Schweiz. Dem Bund kommt dabei eine tragende Rolle zu."
finews.ch,UBS: Ralph Hamers startet den Stellenabbau,"Die weitere Digitalisierung der UBS wird in den kommenden Monaten wohl Tausende von Stellen kosten. Die Zurückhhaltung, die sich die UBS während der Corona-Pandemie auferlegt hatte, ist unter dem neuen CEO Ralph Hamers nun vorbei."
BLICK,Vormundschaftsstreit: Jetzt sagt Britney Spears persönlich aus,"Britney Spears will erwirken, dass ihr Vater Jamie Spears nicht ihr Vormund bleibt. Dafür will der Popstar nun selbst vor Gericht aussagen. Ein Termin für Britneys Aussage wurde nun festgelegt."
20 Minuten,Medienkonferenz Coronavirus - Bundesrat informiert um 14.45 Uhr über neuste Corona-Entscheide - 20 Minuten,Der Bundesrat informiert um 14.45 Uhr über die Ergebnisse der Bundesratssitzung vom Mittwoch. 20 Minuten berichtet live im Stream und im Ticker.
Www.srf.ch,Rückruf Banknoten-Serie 8 – Nationalbank ruft alte Banknoten zurück - Schweizer Radio und Fernsehen (SRF),Fortan sind die Scheine der Banknoten-Serie aus dem Jahr 1998 kein Zahlungsmittel mehr. Doch sie behalten ihren Wert.
DIE WELT,Pollenallergie: Die „Impfung“ gegen Heuschnupfen - WELT,"Mehr als jeder fünfte leidet in Deutschland an Heuschnupfen. Viele Betroffene schleppen sich Jahr für Jahr durch die Pollensaison, obwohl es eine Therapie für die Erkrankung gibt, die nicht nur die Symptome bekämpft. Doch sie wird noch immer viel zu selten an…"
20 Minuten,Rankin für Relate - In dieser sinnlichen Kampagne dreht sich alles um Sex im Alter - 20 Minuten,Über Intimität im Alter wird selten gesprochen. Mit seiner neuen Werbekampagne will Heidi Klums Lieblingsfotograf das ändern. Dafür hat Rankin ältere Menschen in intimen Momenten abgelichtet.
20 Minuten,ProSieben-Moderator Daniel Aminati hat sich mit Eva Fischer verlobt - 20 Minuten,"Der deutsche Moderator Daniel Aminati verrät mit einem Kniefall-Foto auf Instagram, dass er sich mit Freundin Patrice Eva Fischer verlobt hat."
Www.nau.ch,Timo Werner: Monster-Fehlschuss gegen Real Madrid wird Internet-Hit - Nau.ch,Timo Werner wird nach dem 1:1-Remis von Chelsea gegen Real Madrid wohl schlecht geschlafen haben. Sein Fehlschuss nach neun Minuten ist schlicht unfassbar.
Itmagazine.ch,Excel für Web bekommt neue Farbpalette - IT Magazine - IT Magazine,Microsoft hat die Online-Ausgabe von Excel mit diversen neuen Formatiermöglichkeiten ausgestattet und erlaubt mithilfe einer Custom-Color-Palette die Definition beliebiger Farben.
Games.ch,Samsung präsentiert neues Monitor-Line-up 2021 - Erste Displays mit «Intelligent Eye Care» - Games.ch,"Mit einem neuen Monitor-Line-up verspricht Samsung beste Aussichten für 2021. Das diesjährige Portfolio kombiniert hochauflösende Bildqualität und verbesserten Komfort mit ergonomischem Design.
Dadurch stellen die Samsung Monitore die perfekte Ergänzung für j…"
Spektrum.de,Covid-19: Der Wettlauf um antivirale Medikamente - Spektrum.de,"Warnungen gab es viele, beherzigt wurden sie nicht: Corona traf die Medikamentenentwickler unvorbereitet. Dabei ließe sich durchaus heute schon die Pandemie von morgen bekämpfen."
Insideparadeplatz.ch,US-Senator bedrängt CS-Gottstein - Inside Paradeplatz,Hoher Politiker schreibt Brief an mächtiges Department of Justice und an Schweizer CEO. Hat CS gegen Schwarzgeld-Deal verstossen?
Www.srf.ch,Das Neueste zur Coronakrise - Immer mehr träumen wegen Corona vom Eigenheim - Schweizer Radio und Fernsehen (SRF),"Die Behörde befürchtet, dass die Verschwörungstheorien auch nach dem Ende der Pandemie nicht verschwinden werden."
Finanzen.ch,Werbeanzeigen im App Store : Milliarden-Potential: Apple weitet Werbeaktivitäten aus - finanzen.ch,Erst im letzten Jahr bemerkten Nutzer von Apples iPhone im Einstellungsmenü Werbebanner für Services des Unternehmens. Nun will der iKonzern sein Werbeangebot offenbar noch weiter ausbauen - und sich damit neben Facebook und Google ein Stück vom Kuchen sicher…
20 Minuten,220 Milliarden Euro - Italien billigt milliardenschweren Corona-Wiederaufbauplan - 20 Minuten,Das italienische Parlament hat das Konjunkturprogramm von Regierungschef Mario Draghi in der Höhe von 220 Milliarden Euro gutgeheissen.
Blick.ch,National League: Zug und Genf stehen mit einem Bein im Playoff-Final - BLICK,Zweiter Akt in den Playoff-Halbfinals. Die Lakers fordern den EVZ mehr als im ersten Spiel und verlieren trotzdem. Und die ZSC Lions sind in Genf chancenlos.
Www.srf.ch,Halbfinals in den Playoffs - Dank Blitz-Doppelschlag: Zug schafft bei den Lakers das Break - Schweizer Radio und Fernsehen (SRF),Der EVZ bezwingt Rapperswil-Jona auswärts mit 4:2 und erspielt sich in der Halbfinal-Serie 2 Matchpucks.
Www.srf.ch,EU-Rahmenabkommen – Bundesrat zieht die kommunikative Notbremse - Schweizer Radio und Fernsehen (SRF),Von «erheblichen» zu «fundamentalen» Differenzen in drei Tagen: Bundespräsident Guy Parmelins Kommunikation überrascht.
20 Minuten,Amtsgeheimnis-Missbrauch : Alt-Bundesrat Moritz Leuenberger entgeht Strafuntersuchung,Die Bundesanwaltschaft erhebt keine Anklage gegen Moritz Leuenberger. Das hat der Bundesrat am Mittwoch entschieden.
BLICK,Sitten: Walliser bei Tauchgang tödlich verunglückt,Ein Passant entdeckte am Dienstag eine treibende Leiche auf einem Baggersee in Sitten. Bei dem Verstorbenen handelte es sich um einen verunglückten Taucher.
20 Minuten,2. Prozesstag in Solothurn,"Ein Vater soll seinen Sohn erstickt und seine Tochter schwer verletzt haben. Jahrelang ermittelten die Behörden, nun kommt es in Solothurn zum Prozess."
Telebasel,Mädchen (3) stürzt aus Fenster im 2. Stock,Am Dienstagabend ist in Wattwil SG ein dreijähriges Mädchen aus einem Fenster im zweiten Stock gefallen. Es wurde von der Rega ins Spital geflogen.
20 Minuten,Immobilienmarkt - Schweizer wollen wegen Corona-Pandemie aufs Land,Die Corona-Pandemie hat die Wohnbedürfnisse der Schweizerinnen und Schweizer verändert. Immer mehr wollen aufs Land ziehen. Auch hat der Wunsch nach Balkon und Garten stark zugenommen.
BLICK.CH,Umverteilung bei beruflicher Vorsorge trifft vor allem Mittelstand hart,"Mehrere Milliarden Franken werden jährlich im Rahmen der sogenannten Umverteilung von den Erträgen der Vorsorge-Ersparnissen aktueller Arbeitnehmer an Rentner verteilt. Eine fatale Spirale, die dringend aufgehalten werden müsste. Ein Experte sagt, wie."
Schweizer Radio und Fernsehen (SRF),"Abstimmung - Referendum gegen ""Ehe für alle"" formell zustande gekommen",61'027 gültige Unterschriften wurden eingereicht. Damit wird das Stimmvolk das letzte Wort haben.
20 Minuten,Reussbühl LU : Bus kollidiert mit Auto-Anhänger – fünf Personen verletzt,Am Dienstagmittag kollidierte ein vbl-Bus mit einem Auto mit Verkaufsanhänger auf der Hauptstrasse in Reussbühl. Die Seitenklappe des Anhängers öffnete sich und streifte den Bus. Dabei wurden vier Buspassagiere und der Chauffeur leicht verletzt.
BLICK,Die Schweiz hat ihn: Max Vetter vom Baur au Lac ist weltbester Rezeptionist,"Ein freundliches «Willkommen» reicht nicht, um zum besten Rezeptionisten der Welt gekürt zu werden. Was es dazu braucht, weiss einer ganz genau: Max Vetter (27) vom Zürcher Luxushotel Baur au Lac."
Aargauerzeitung.ch,Weissensteintunnel - Spezielles Gerichtsurteil: Baukonzern Implenia verliert 66 Millionen Franken wegen eines Rechenfehlers | Aargauer Zeitung - Aargauer Zeitung,Die Bahngesellschaft BLS lässt den Weissensteintunnel sanieren und hat den Bauauftrag an Implenia erteilt. Doch nun erstreitet sich ein österreichischer Konzern den Zuschlag vor Gericht.
Tagesanzeiger.ch,Zahlungsmittel hat ausgedient - Schweizer Nationalbank ruft alte Banknoten zurück - Tages-Anzeiger,Die 8. Banknotenserie der Schweiz verliert per 30. April 2021 ihren Status als gesetzliches Zahlungsmittel.
Bluewin.ch,Gericht bestätigt Manipulation von Stimmzetteln - bluewin.ch,"Damien Piller stand im Verdacht, sich mit Firmengeld bereichert zu haben. Er sollte deshalb bei einer Vertrauensabstimmung abgewählt werden. Der einflussreiche Migros-Regionalpräsident verhinderte dies mit unlauteren Mitteln."
Google News,"Apples eiserne Faust: Konzern sperrt Apps, die Belohnungen für Tracking versprechen - digitec",
Www.nzz.ch,Der Tesla-Gigafabrik in Grünheide bei Berlin droht Verzögerung - Neue Zürcher Zeitung,Der Tesla-Chef Elon Musk zieht derzeit im deutschen Grünheide in Rekordzeit eine Gigafactory hoch. Doch nun hat der Elektroautohersteller das Projekt erneut geändert. Das hat Folgen für den Starttermin.
Watson.ch,Auch Spotify kündigt Bezahl-Modell für Podcasts an - watson,Wenige Tage nach Apple hat auch der Musikstreaming-Marktführer Spotify ein Abo-Modell für Podcasts vorgestellt. Dabei kündigte Spotify am Dienstag …
Finanzen.ch,Cash-Alternative : Tesla verkauft Bitcoins: Musk-Tweet sorgt für Wirbel in Krypto-Community - finanzen.ch,"Dass Tesla einen Teil seiner Bitcoins liquidiert hat, kam am Kryptomarkt zunächst nicht gut an. Ein Erklärungsversuch von Elon Musk schürte unterdessen erneut Spekulationen."
20 Minuten,"Analoger Messenger - Enkel baut Oma (96) Apparat, damit sie Telegram nutzen kann - 20 Minuten","Damit die 96-jährige Felisa Romano Martin mit ihren Enkelkindern einfach chatten kann, hat ein Spanier eine geniale Maschine gebaut: das Yayagram. Auf Twitter erhält er viel Lob dafür."
Finews.ch,UBS-Chefjuristin Barbara Levi: Aktenzeichen ungelöst - finews.ch,Die neue General Counsel der UBS Barbara Levi lässt beim Minenkonzern Rio Tinto prominente Rechtsstreitigkeiten zurück – und übernimmt bei der Grossbank nicht minder heikle Fälle.
Auto-motor-und-sport.de,Lotus mit 4 neuen Plattformen: Emira letzter Lotus mit Verbrenner - auto motor und sport,"Lotus sieht die Zukunft in batterieelektrischen Autos. Deshalb wird der Emira, der im Sommer vorgestellt wird, der letzte Sportwagen mit einem Verbrennungsmotor aus Hethel sein. Bis 2028 will Lotus ein klimaneutraler Konzern werden."
20 Minuten,Mit Gratis-Software - So erbeutete eine Cyber-Gang in fünf Tagen mehr als 250’000 Franken - 20 Minuten,"In ein Netzwerk eindringen, Dateien verschlüsseln und Lösegeld fordern: So ist das Vorgehen der Ransomware-Gangs. Eine Analyse zeigt nun, wie lukrativ das für die Cyberkriminellen ist."
20 Minuten,Kokosnuss- statt Kuhmilch - Deutsche Vegan-Glace will den Schweizer Markt erobern - 20 Minuten,Das Jungunternehmen Nomoo aus Köln will die Nummer eins für pflanzliche Glace werden und verkauft seine Produkte neu bei Alnatura und Globus. Schweizer Hersteller schauen der Konkurrenz gelassen entgegen.
Finews.ch,UBS holt Mike Dargan in die Konzernleitung - finews.ch,"Die UBS hat künftig keinen COO mehr in der Konzernleitung, dafür mit Mike Dargan einen CDIO. Eine weitere Änderung: Markus Diethelm tritt als General Counsel zurück."
Tagesanzeiger.ch,"Chefjurist verlässt UBS - Markus Diethelm räumte nach zahllosen Skandalen auf, jetzt geht er - Tages-Anzeiger","Er sparte der Grossbank viel Geld mit Vergleichen, jetzt hat der UBS-Rechtschef seinen Rückzug angekündigt. Die Hintergründe."
20 Minuten,Rückruf : Achtung! Bei diesem Gasgrill besteht Brandgefahr,"Aldi Suisse hat einen Gasgrill mit einem ausländischen, nicht-konformen Druckregler verkauft. Nun hat der Detailhändler den Grill wegen Brandgefahr zurückgerufen."
finews.ch,UBS-Chefjuristin Barbara Levi: Aktenzeichen ungelöst,Die designierte UBS-Chefjuristin Barbara Levi lässt beim Minenkonzern Rio Tinto einige prominente Rechtsstreitigkeiten zurück – und übernimmt nun bei der Grossbank nicht minder heikle Fälle.
auto motor und sport,"Lotus wird vollelektrisch, Emira letzter Verbrenner",Lotus sieht die Zukunft in batterieelektrischen Sportwagen und Lifestyle-Autos. Der Emira wird der letzte Sportwagen mit Verbrennungsmotor aus Hethel sein.
auto motor und sport,BMW iM2: Elektro-M2 mit über 1.300 PS!?,Zum 50.Geburtstag der M GmbH 2022 legt BMW mit dem iM2 ein elektrisches Coupé auf. Das berichtet das britische Car Magazine.
Inside Paradeplatz,Rechtschef der UBS: Ab durch Hintertür,Markus Diethelm geht nach 13 Jahren von Bord. Der Oberjurist war entscheidend für den Gang der UBS vor ein Pariser Schwarzgeld-Gericht.
Inside Paradeplatz,UBS-Hamers verliert Schlacht gegen Iqbal Khan,"CEO wollte Big Bang, jetzt nur Kosmetik, da VR auf Khan setzt. Dessen Private Banking boomt, dafür verspielt Trading 800 Archegos-Millionen."
20 Minuten,Erstes Quartal : UBS steigert Gewinn trotz Belastung aus Hedgefonds-Pleite,Die Grossbank hat die Zahlen für die ersten drei Monate des Geschäftsjahres vorgelegt.
20 Minuten,"Riga, Lettland : Acht Menschen sterben bei Brand in illegalem Hostel","Am Mittwochmorgen brach in einem Hostel in Riga ein Feuer aus. Acht Personen starben, sechs weitere Menschen mussten ins Spital gebracht werden."
CHIP Online Deutschland,Google Chrome-Nutzer müssen aufpassen: Deswegen sollten Sie ihren Browser jetzt updaten,"Google hat für Chrome ein aktuelles Update ausgerollt. Dieses schließt eine Reihe von Sicherheitslücken, von denen drei als besonders gefährlich eingestuft werden. Nutzer sollten ihren Google-Browser daher schnellstmöglich updaten, um auf Nummer sicher zu gehen."
ecomento.de,Praxisvergleich der Schnellladefähigkeit von Elektroautos,Die P3 Group hat einen Vergleich der Schnellladefähigkeit verschiedener Elektroautos mit Fokus auf die Praxis erstellt.
Business Insider Deutschland,Keine Food-Startups mehr: Frank Thelen über seinen Plan nach DHDL,"Frank Thelen wurde als DHDL-Juror bekannt. Ein Jahr nach seinem Ausstieg zieht er Bilanz. Und erklärt, wie er sich neu erfinden will."
 Cash,Tech-Konzern - Google-Umsatz wächst um ein Drittel - Alphabet-Aktie steigt um 4 Prozent,"Das Werbegeschäft bei Google läuft in der Corona-Pandemie auf Hochtouren. Der Umsatz der Konzernmutter Alphabet stieg im vergangenen Quartal im Jahresvergleich um 34 Prozent auf 55,3 Milliarden Dollar."
Schweizer Radio und Fernsehen (SRF),"Raumfahrt - Was kann Elon Musks SpaceX besser als die Nasa, Thomas Zurbuchen?","Für die Nasa sei die Zusammenarbeit mit Privaten sehr wichtig, sagt deren Wissenschaftsdirektor Thomas Zurbuchen."
20 Minuten,Drogengeld : Deutsche Justiz verliert Bitcoin im Wert von über 22 Millionen Franken,Die deutsche Justiz beschlagnahmte 2017 Bitcoin im Wert von rund 11 Millionen Franken. Diese sind jetzt über 20 Millionen wert – und spurlos im Internet verschwunden.
TechStage,Marktübersicht: Die kleinsten Handys ab 20 Euro,Die kleinsten Handys sind kaum größer als ein Daumen und bieten dennoch Display und Tastatur. Dabei kosten sie teilweise unter 20 Euro. Eine Übersicht.
BTC-ECHO | Bitcoin & Blockchain Pioneers,SEC wehrt sich gegen Ripple-Antrag: XRP antwortet mit Kursrallye,Der XRP-Kurs outperformt am 27. April die Riege der Top-Coins. Unterdessen will die SEC Ripple keine Einsicht in Kommunikationen mit dem Ausland gegeben.
futurezone.at,"Cardano gewinnt 5,7 Millionen neue Krypto-User in Afrika",Die äthiopische Regierung wickelt das Bildungssystem des Landes künftig über das Cardano-Netzwerk ab.
Www.nau.ch,Queen Elizabeth: Hier lächelt sie ihre Trauer um Gatte Philip weg - Nau.ch,Queen Elizabeth trauert um ihren Gatten Prinz Philip. Gestern widmete sich die Königin aber wieder ihren Royal-Pflichten.
Www.nau.ch,Meghan Markle: Trump-Sohn macht sich über sie und Harry lustig! - Nau.ch,Meghan Markle und Harry haben einen 25-Millionen-Deal mit Spotify abgeschlossen – ganz zum Unmut von Musikern. Jetzt gibt Donald Trumps Sohn seinen Senf dazu.
Www.nau.ch,Willi Herren: Fans enttäuscht über seinen TV-Abschied - Nau.ch,Willi Herren wurde letzte Woche tot in seiner Wohnung aufgefunden. Am Montag verabschiedete «Sat.1» den Realitystar – die Fans fanden die Aktion enttäuschend.
Blick.ch,Heidi Klum soll «GNTM»-Konkurrenz von ihrem Vater Günther bekommen - BLICK,Seit 16 Staffeln sucht Heidi Klum Nachwuchsmodels in ihrer Casting-Show «Germany's Next Topmodel». Nun soll diese Konkurrenz bekommen – ausgerechnet von ihrem Vater Günther.
Www.nau.ch,Sängerin Adele zeigt sich erstmals seit Monaten - Nau.ch,Von Sängerin Adele hat man länger nichts mehr gehört. Bei einer Oscar-Party liess es sich die britische Sängerin im auffälligen Look nun gut gehen.
Blick.ch,Harry und Meghan fordern faire Verteilung der Corona-Impfstoffe - BLICK,"In einem Statement fordern Prinz Harry und Herzogin Meghan, dass die Corona-Impfstoffe gerecht an alle Menschen verteilt werden."
Blick.ch,Prinz Harry geschockt vom frostigem Empfang bei seiner Familie - BLICK,Zwischen Prinz Harry und seiner Familie herrschte lange Zeit Funkstille. Bei der Beerdigung seines Grossvaters Prinz Philip trafen die Royals erstmals wieder aufeinander. Das Treffen soll alles andere als warmherzig verlaufen sein.
Www.nau.ch,"Charles will Meghan Markle und Harry loswerden, wenn er König ist - Nau.ch","Sobald Prinz Charles auf dem Thron sitzt, wird es einige radikale Änderungen geben. Meghan Markle und Prinz Harry könnten davon besonders betroffen sein."
Telebasel.ch,International Niemand will Prinz Andrew in «The Crown» spielen - Telebasel,"Prinz Andrew ist in Grossbritannien unbeliebt: So unbeliebt, dass die Macher von «The Crown» Mühe haben seine Rolle zu besetzen."
